Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names,Keep,Reason
www,co-fremont,,,,,FALSE,
www,inddex-multi-vn,PRODUCT,CommCare Paused Plan,,,FALSE,
www,colorado-xpath-training,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,bh-mat-registry,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,TRUE,has upstream keep
www,supporters-ok-sickle-cell,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-arapahoe,,,,,FALSE,
www,second-project-6,,,,,FALSE,
www,kartika-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-summit,,,,,FALSE,
www,kai-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,ush-migration,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"ush-cjw-2,ush-cjw-1,ush-migration-transfer",FALSE,
www,ccqa2-2,,,,,TRUE,qa domain
www,philly-covid19-intqa,,,,,FALSE,
www,woody-meade-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,TRUE,has upstream keep
www,co-gunnison,,,,,FALSE,
www,addison-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,downstream-domain,FALSE,
www,covid-nj-staging,,,,,FALSE,
www,nj-covid-sussex,,,,,FALSE,
www,wv-sahel-nigeria-dev,PRODUCT,CommCare Paused Edition,True,wv-sahel-nigeria,TRUE,has downstream keep
www,wv-sahel-car-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,sampleproject-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,ny-erie-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,fh-ethiopia-psnp,PRODUCT,Discounted Custom Advanced Plan for Food for the Hungry - Pay Annually,,,FALSE,
www,trenton-health,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,beh-health-demo,,,,,FALSE,
www,inddex-test-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,uss-matt-onboarding,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,ush-repeat-group-training,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,hungry-hippo-david,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,hungry-hippo-chantal,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,ny-viaduct-wes-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,,FALSE,
www,nick-demo,,,,nick-test,FALSE,
www,nile-special,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,trainingdakar,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,woody-colorado-covid,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,ny-livingston-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,inddex-multilingual,PRODUCT,CommCare Paused Plan,,"jfuller-inddex-push-test,inddex-upload-test-2,inddex-upload-test,test-push-caktus,inddex-multi-vn",FALSE,
www,inddex-data-dictionary,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,qa-automation-prod,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,TRUE,qa domain
www,case-management-onboardin,PRODUCT,CommCare Free Edition,,,FALSE,
www,polio-template-app,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,ccqa-downstream,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,TRUE,qa domain
www,bha-auto-tests,SANDBOX,Enterprise Plan for State of Colorado: Capacity and Central Registries,True,,TRUE,has upstream keep
www,ny-montgomery-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,av-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,TRUE,has upstream keep
www,indiana-mch-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,commcare-followup-task,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,ny-viaduct-suf-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,,FALSE,
www,co-moffat,,,,,FALSE,
www,ny-allegany-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,,FALSE,
www,nj-covid-dev,,,,"https://staging.commcarehq.org/a/covid-nj-staging/,nj-covid-assignment-test",FALSE,
www,commcarehq-academy,PRODUCT,CommCare Paused Edition,,,FALSE,
www,co-ouray,,,,,FALSE,
www,co-practice,,,,,FALSE,
www,ccc-chc-ahti-2024-25,PRODUCT,CommCare Paused Edition,,,FALSE,
www,nj-covid-cape-may,,,,,FALSE,
www,pa-ddap-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,ush-envelope-testing,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,us-monkeypox-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,philly-covid19-load,,,,,FALSE,
www,re-entry-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,test-a,,,,,FALSE,
www,flipper,NOT_SET,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,ny-delaware-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,somerville-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,somerville-regional-phdms,TRUE,has downstream keep
www,ny-albany-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,partnerships-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,ccc-chc-ruwoyd-2024-25,PRODUCT,CommCare Paused Edition,,,FALSE,
www,experimentations-ma,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,co-baca,,,,,FALSE,
www,ny-transfers-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,,FALSE,
www,hungry-hippo-braxton,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,aashima-testing-1,PRODUCT,CommCare Paused Edition,,,FALSE,
www,nj-covid-hudson,,,,,FALSE,
www,charlsmit-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,skelly,NOT_SET,Dimagi Only CommCare Enterprise Edition,True,http://localhost:8000/a/not-sql/,FALSE,
www,david-warren-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,ymtest,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,philly-covid19-test,,,,,FALSE,
www,ny-monroe-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,bf-vaccine-delivery-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,kc-project,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,co-denver,,,,,FALSE,
www,nj-covid-essex,,,,,FALSE,
www,aashima,,,,,FALSE,
www,ny-jefferson-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,summit-hunt,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,staging-dms-colombia,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"master-ve-dms-colombia,prueba-dms-colombia-1,dms-colombia",FALSE,
www,inddex-staging,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,nphcda-echis-dev,PRODUCT,CommCare Paused Edition,True,"nphcda-echis-training,tj-test2,nphcda-echis",FALSE,
www,edss-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,sctpn,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,vectorlink-sierra-leone,PRODUCT,CommCare Paused Edition,,,FALSE,
www,adama-s-fun-app,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,wv-sahel-cameroon-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,fh-ethiopia-dev,PRODUCT,CommCare Paused Edition,,"mypractice,fh-ethiopia-psnp,fh-ethiopia-training,fh-ethiopia-2",FALSE,
www,ny-chemung-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,ny-training-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,,FALSE,
www,ush-migration-b,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,ny-westchester-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,mpdsr-prod,PRODUCT,CommCare Paused Edition,,,FALSE,
www,amit-learning-project,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-douglas,,,,,FALSE,
www,sci-civ-malaria,PRODUCT,CommCare Advanced Edition - Pay Annually,True,,TRUE,production domain
www,co-delta,,,,,FALSE,
www,data-engineer-interview,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,bh-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,ny-viaduct-state-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,ny-oneida-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,connect-experiments,IMPLEMENTATION,Enterprise Plan for CommCare Connect,,,FALSE,
www,nj-covid-state,,,,,FALSE,
www,ak-tb-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,exclamationtest,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,nj-doas,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,trenton-health,FALSE,
www,gtd-summit,INTERNAL,Dimagi Only CommCare Enterprise Edition,,,FALSE,
www,co-routt,,,,,FALSE,
www,co-grand,,,,,FALSE,
www,cfs-upstream-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"downstream-test,cfs-downstream-test",FALSE,
www,c19-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,,FALSE,
www,wv-sahel-mali-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,,FALSE,
www,ny-stlawrence-cdcms,PRODUCT,CommCare Paused Edition,True,,FALSE,
www,whatdoesthefoxsay,NOT_SET,Dimagi Only CommCare Enterprise Edition,,,FALSE,
