Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names
staging,ss-staging,INTERNAL,Dimagi Only CommCare Enterprise Edition,,"pro-project,standard-project"
staging,grogu-downstream3,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,bugsbecrushed,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"enterprise-project,billingtest-1"
staging,linked-c-up,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,farid-remote-test,,,,
staging,erm-migration-a1,IMPLEMENTATION,Software_Plan_A,True,"erm-migration-a2,erm-migration-a3"
staging,linked-up,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,linked-down
staging,kcho-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,project-space-3,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,project-space-3d
staging,ccqa,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"ccqa2-2,data-cleaning,ccqa-mk,downstream-covid,add-ons,community,ccqa,ccqa-downstream,hrs-001,hrs-002,new-space-1"
staging,wv-sahel-perf,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
staging,casesearch-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,3157-3156-down,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,linked-a-down,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,project-space-a,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,qa-mrm-custom-downstream2,INTERNAL,Lite Release Management,,
staging,report-copy,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,1921-upstream,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,1921-downstream-1
staging,beautiful-grotesque,NOT_SET,CommCare Paused Edition (With ERM),,
staging,qateam,INTERNAL,4030_Enterprise,True,"https://eu.commcarehq.org/a/qateam-eu/,https://www.commcarehq.org/a/test-dev/,https://www.commcarehq.org/a/qateam,kd-advance-project,casesetup,qa-automation,casesearch,nitin-commcare,connect-apps"
staging,linked-down,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,project-space-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,project-space-2d
staging,api-tests,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
staging,polar-bears-are-cool,,,,http://104.163.217.31:8000/a/polar-bears-are-cool/
staging,qa-automation,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,data-cleaning-1
staging,qa-erm-v1-downstream2,IMPLEMENTATION,QA-ERM-V1 Software Plan,False,
staging,test-phillip,PRODUCT,CommCare Free Edition,True,
staging,onboarding-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,ccc-chc-3,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,dw-appcues,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
staging,qa-load-40k,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,3156-up,PRODUCT,Enterprise: ERM Test,True,3156-down
staging,qa-load-5k,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,bha-mini-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
staging,linked-b-down,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,lgtest,INTERNAL,Dimagi Only CommCare Enterprise Edition,,hmhb-staging
staging,billingtests,INTERNAL,CommCare Standard Edition (With ERM),,
staging,casesearch-split-screen,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,charlsmit-testy2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,kaleb-dimagi,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
staging,esoergel,NOT_SET,Dimagi Only CommCare Enterprise Edition,False,
staging,dataregistry1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,4030-retest,IMPLEMENTATION,CommCare Advanced Edition - Pay Monthly,,"abcdfhoufek,project-237401"
staging,qa-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
staging,ush-cjw-3,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,bha-perf,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,grogu-downstrean2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,jonathant-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,syria-support-10k,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
