Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names
production,inddex24-dev,SANDBOX,Custom Sandbox Plan for Tufts,,
production,inddex-reports,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,pbf-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,chw-covid-response-team,PRODUCT,CommCare Paused Edition,True,
production,jamaica-vax-dev,SANDBOX,Custom Advanced Plan with ERM (Release Management),True,"jamaica-vaccine,jamaica-vax-training"
production,cva-demos,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,inddex-upload-test-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,polio-cameroon,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,True,
production,hungry-hippo-hannah,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,vt-test,PRODUCT,CommCare Paused Edition,True,
production,edss-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ush-migration-c2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-carecoordination-perf,SANDBOX,Enterprise Plan for State of Colorado: Capacity and Central Registries,True,
production,ny-schuyler-cdcms,PRODUCT,CommCare Paused Edition,True,
production,sf-housing-street-teams,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,school-monitoring-test-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-staging,IMPLEMENTATION,CommCare Paused Edition,True,
production,ny-saratoga-cdcms,PRODUCT,CommCare Paused Edition,True,
production,wv-sahel-chad-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,chc-solina,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-silverthread,,,,
production,ny-columbia-cdcms,PRODUCT,CommCare Paused Edition,True,
production,ny-wayne-cdcms,PRODUCT,CommCare Paused Edition,True,
production,mikesproject,NOT_SET,Dimagi Only CommTrack Enterprise Edition,,
production,ush-migration-a2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ccc-chc-cssunn-2024-25,IMPLEMENTATION,CommCare Paused Edition,,
production,co-montrose,,,,
production,co-test-lpha2,,,,
production,ny-herkimer-cdcms,PRODUCT,CommCare Paused Edition,True,
production,sick-cells-cbo-training,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,vt-perf,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,co-weld,,,,
production,inddex,PRODUCT,CommCare Community Edition (With ERM),True,"inddex-bf,inddex-vietnam"
production,chantal-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ccqa,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"ccqa2,av-test,ccqa-downstream"
production,jason-test4,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ccc-chc-devpronet-2024-25,PRODUCT,CommCare Paused Edition,,
production,nj-covid-bergen,,,,
production,coope,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,abdoul-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,id-cict,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,practice-space-4,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,m2m-training-space,PRODUCT,Grouped Advanced Plan for Mothers to Mothers - Pay Monthly,True,m2m
production,chantal-ush-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,tech-onboarding-day-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,tcb-2022-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-park,,,,
production,alafiacomm-prod,PRODUCT,CommCare eCHIS Plan - MoH Benin,True,
production,vectorlink-benin,PRODUCT,CommCare Paused Edition,,
production,nj-covid-gloucester,,,,
production,user-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,cfs-performance-test-ucr
production,uss-workflow-templates,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,kate-pearce-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,co-dolores,,,,
production,cdc-pods-chad-prod,PRODUCT,CommCare Paused Edition,,
production,sandbox-erick,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,hack-your-app,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,nj-covid-hunterdon,,,,
production,ccqa2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-garfield,,,,
production,casesearch-split-screen,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
