Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names
production,dms-colombia,PRODUCT,Discounted Custom Advanced Plan for dms-colombia - Pay Annually,,
production,philly-covid-containment,,,,
production,schmidt-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,schmidt-staging
production,jason-test3,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-orleans-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,
production,dimagi-vaccine-solution,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,pmievolve-sierra-leone,IMPLEMENTATION,Grouped Advanced Plan for Abt Associates - Prevention of Malaria,,
production,wv-sahel-car,,,,
production,ny-broome-cdcms,PRODUCT,CommCare Paused Edition,True,
production,co-carecoordination,IMPLEMENTATION,US State: Enterprise Premier,True,
production,testshiv-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,akj,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-boulder,,,,
production,ethan-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
production,lauren-eby,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,impact-network,PRODUCT,CommCare Pro Edition - Pay Annually,True,
production,gorongosa-nbc,PRODUCT,CommCare Paused Edition,True,
production,vectorlink-senegal,PRODUCT,CommCare Paused Edition,,
production,polio-cameroon-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"campagne-cameroun,polio-cameroon"
production,co-carecoordination-sand,IMPLEMENTATION,CommCare Paused Edition,True,
production,co-sanmiguel,,,,
production,project-space-b1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,us-monkeypox-qa,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,frener,,,,
production,cfs-downstream-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,cfs-upstream-test
production,shubhamgoyaltest,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ny-ontario-cdcms,PRODUCT,CommCare Paused Edition,True,
production,ethan-testing-case-tiles,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-carecoordination-uat,SANDBOX,Enterprise Plan for State of Colorado: Capacity and Central Registries,True,
production,nj-covid-monmouth,,,,
production,commcare-tests,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ny-washington-cdcms,PRODUCT,CommCare Paused Edition,True,
production,sudcare-dev,PRODUCT,CommCare Paused Edition,True,sudcare
production,ny-staging-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,
production,ccc-chc-solina-2024-25,PRODUCT,CommCare Paused Edition,,
production,navajo-covid19-dev,PRODUCT,CommCare Paused Edition,True,"nana-data-migration-test,navajo-covid19-loadtestin,https://staging.commcarehq.org/a/covid-navajo-staging/,navajo-covid19-staging,chw-covid-response-team"
production,nj-covid-warren,,,,
production,mypractice,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,m2m,PRODUCT,Grouped Advanced Plan for Mothers to Mothers - Pay Monthly,True,
production,basif-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-ulster-cdcms,PRODUCT,CommCare Paused Edition,True,
production,cope-covid19,,,,
production,vectorlink-ivorycoast,PRODUCT,CommCare Paused Edition,,
production,ush-cjw-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ny-rensselaer-cdcms,PRODUCT,CommCare Paused Edition,True,
production,uss-snezhana-onboarding,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,wv-sahel-niger,,,,
production,philly-covid19-learning,,,,
production,ak-covid19-tracker-test,PRODUCT,CommCare Paused Edition,True,"ak-tb-dev,https://staging.commcarehq.org/a/covid-ak-staging/,julia-fuller-test,ak-covid19-tracker-load,alaska-covid-19-project,ak-training-sandbox,ak-covid19-tracker-intqa,ak-covid19-load-testing,ak-covid19-tracker-prod"
production,hungry-hippo-kate,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,nj-covid-salem,,,,
production,livewell-chc-2,IMPLEMENTATION,CommCare Paused Edition,True,
production,co-alamosa,,,,
production,axis-advocacy,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,alaska-covid-19-project,PRODUCT,CommCare Paused Edition,True,
production,kt-test-space,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,nj-covid-cumberland,,,,
production,analytics-test-count,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ccc-chc-rwyd-2024-25,PRODUCT,CommCare Paused Edition,,
production,downstream-test-domain,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ush-poc,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,care-coordination-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-cheyenne,,,,
production,casesearch-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-franklin-cdcms,PRODUCT,CommCare Paused Edition,True,
production,nysofa-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,nj-covid-assignment-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-uat,,,,
production,ccc-nigeria-experiments,IMPLEMENTATION,Enterprise Plan for CommCare Connect,,
production,scdai,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,commcare-fundamentals-13,,,,
production,learning-118,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,webuserrestore,,,,
production,co-obh-analytics-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,campagne-cameroun,PRODUCT,CommCare Free Edition,False,
production,co-southeast,IMPLEMENTATION,CommCare Paused Edition,,
production,cambodia-arch-3-study,PRODUCT,CommCare Paused Edition,,
production,ny-fulton-cdcms,PRODUCT,CommCare Paused Edition,True,
production,co-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,co-obh,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,co-lahd,,,,
production,co-lake,,,,
production,livhu-2024,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ochsner-health-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,vee-2,PRODUCT,CommCare Community Edition (With ERM),,
production,pmievolve-ethiopia-1,IMPLEMENTATION,CommCare Paused Edition,,
production,somalia-vax-delivery-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"vax-delivery,somalia-vax-delivery"
production,co-elbert,,,,
production,analytics-test-cookie-mon,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-jefferson,,,,
production,uss-julia-onboarding,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,faisal-workshop,,,,
production,camnafaw,PRODUCT,CommCare Paused Edition,True,
production,analytics-test-kermit,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,sudcare,PRODUCT,CommCare Paused Edition,,
production,tcb-hiv-follow-up,,,,
production,ccc-chc-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,wv-sahel,,,,
production,campaign-togo-1,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,,
production,nitin-commcare,INTERNAL,QA Test Plan,,
production,vt-dev,SANDBOX,CommCare Paused Edition,True,"vt-sandbox,vt-prod,vt-test,vt-perf"
production,aashima-testing,INTERNAL,Dimagi Only CommCare Enterprise Edition,,dimagi-file-sharing
production,vaccine-education,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ccc-chc-cwins-2024-25,PRODUCT,CommCare Paused Edition,,
production,vt-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ush-cjw-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ccc-chc-cowacdi-2024-25,INTERNAL,Enterprise Plan for Connect - test spaces,,
production,us-monkeypox-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,nazier-heynes,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,alafiacomm,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"alafiacomm-test,alafiacomm-prod,mamyproject"
production,campagne-civ,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,,
production,co-gilpin,,,,
production,firsttestproject-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,az-pima-health-prod,PRODUCT,CommCare Paused Edition,True,
production,ny-schoharie-cdcms,PRODUCT,CommCare Paused Edition,True,
production,test-project-435,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ny-chautauqua-cdcms,PRODUCT,CommCare Paused Edition,True,
production,ak-covid19-tracker-intqa,PRODUCT,CommCare Paused Edition,True,
production,andrea-onboarding,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,philly-covid19-sandbox,,,,
production,ush-migration-c,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ush-new-project-template,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,test-connectsetup,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-kitcarson,,,,
production,nj-covid-ocean,,,,
production,kaleb-dimagi,INTERNAL,Dimagi Internal Test Account: kaleb-dimagi,True,
production,test-dimagi-4,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-pitkin,,,,
production,az-pima-health-staging,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"az-pima-health-uat,az-pima-health-prod"
production,co-rioblanco,,,,
production,anthony-sandbox,PRODUCT,CommCare Free Edition,,
production,let-sdoit,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,gherceg,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-greene-cdcms,PRODUCT,CommCare Paused Edition,True,
production,vectorlink-uganda,PRODUCT,CommCare Paused Edition,,
production,lgtest,INTERNAL,Dimagi Only CommCare Enterprise Edition,,exclamationtest
production,id-testing-20150106,NOT_SET,Dimagi Only CommCare Enterprise Edition,,
production,co-costilla,,,,
production,wv-sahel-nigeria,PRODUCT,CommCare Enterprise Edition - IRC - Pay Monthly,True,
production,analytics-test-big-bird,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,woody-sample-apps,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,humanitarian-use-cases,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,scdaa-philly-del,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,chc-nm-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,alafiacomm-training,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,campaign-ghana,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,,
production,bp-test-domain,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,notresante-guinee-academy,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ccc-chc-zegcawis-2024-25,PRODUCT,CommCare Paused Edition,,
production,somerville-regional-phdms,IMPLEMENTATION,Enterprise Premier Plan for City of Somerville,True,
production,co-clearcreek,,,,
production,livhu-load-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-essex-cdcms,PRODUCT,CommCare Paused Edition,True,
production,ny-cattaraugus-cdcms,PRODUCT,CommCare Paused Edition,True,
production,develop-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ny-dutchess-cdcms,PRODUCT,CommCare Paused Edition,True,
production,wv-sahel-niger-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,sahel-prep
production,nj-covid-integrations-2,,,,
production,campagne-niger,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,,campagne-niger-dev
production,inddex-vietnam,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"inddex-test,inddex,inddex-vietnam-lang-vie"
production,co-prowers,,,,
production,connect-testing,INTERNAL,Enterprise Plan for Connect - test spaces,,
production,rectest,NOT_SET,Dimagi Only CommTrack Enterprise Edition,True,
production,fonkoze_aksyon_test,,,,
production,az-pima-health-uat,PRODUCT,CommCare Paused Edition,True,
production,commcare-superset,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ny-suffolk-cdcms,PRODUCT,CommCare Paused Edition,True,
production,grougu-prod,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,schmidt-staging,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ccc-tech2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,analytics-test-bert,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,kaleb-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-genesee-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,
production,rti-guinne,INTERNAL,CommCare Paused Edition,,
production,projectx-2,,,,
production,nj-covid-training,,,,
production,soltech-training,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,crusher,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-chenango-cdcms,PRODUCT,CommCare Paused Edition,True,
production,ush-migration-d2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-kiowa,,,,
production,chadbrochill,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,downstream-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,prueba-dms-colombia-1,PRODUCT,CommCare Paused Edition,,
production,hungry-hippo-jgray,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ulrich-playground,,,,
production,freq-utilizers,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,test-project-432,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,hungry-hippo-braxton
production,co-performance,IMPLEMENTATION,CommCare Paused Edition,True,
production,dvs-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,pivot,PRODUCT,Discounted Advanced Plan for PivotWorks - Pay Annually,,
production,co-ochd,,,,
production,bosco-linked,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,demos-solutions,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,casesearch,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"casesearch-1,nitin-commcare,casesearch-split-screen,casesearch-2,casesearch"
production,ny-tioga-cdcms,PRODUCT,CommCare Paused Edition,True,
production,cdcms-load-testing,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,c-wins-chc,INTERNAL,Dimagi Only CommCare Enterprise Edition,,c-wins-chc-live
production,co-carecoordination-train,IMPLEMENTATION,CommCare Paused Edition,True,
production,ny-dev-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,"https://staging.commcarehq.org/a/covid-ny-staging/,ny-performance-cdcms-2,ny-montgomery-cdcms,ny-uat-cdcms,ny-staging-cdcms,ny-franklin-cdcms,ush-migration,ny-rockland-cdcms,ny-transfers-cdcms,ny-viaduct-wes-cdcms,ny-sullivan-cdcms,ny-tioga-cdcms,ny-onondaga-cdcms,ny-broome-cdcms,ny-statewide-cdcms,ny-ontario-cdcms,ny-cortland-cdcms,cdcms-load-testing,ny-putnam-cdcms,ny-orleans-cdcms,ny-performance-cdcms,ny-chemung-cdcms,ny-stlawrence-cdcms,ny-dutchess-cdcms,ny-orange-cdcms,ny-greene-cdcms,ny-genesee-cdcms,ny-essex-cdcms,ny-suffolk-cdcms,ny-saratoga-cdcms,ny-steuben-cdcms,ny-seneca-cdcms,ny-training-cdcms,ny-hamilton-cdcms,ny-chautauqua-cdcms,ny-delaware-cdcms,ny-allegany-cdcms,ny-columbia-cdcms,ny-chenango-cdcms,ny-cattaraugus-cdcms,ny-fulton-cdcms,ny-erie-cdcms,ny-albany-cdcms,ny-jefferson-cdcms,ny-lewis-cdcms,ny-monroe-cdcms,ny-niagara-cdcms,ny-oneida-cdcms,ny-otsego-cdcms,ny-herkimer-cdcms,ny-rensselaer-cdcms,ny-oswego-cdcms,ny-nassau-cdcms,ny-integrations-cdcms,ny-madison-cdcms,ny-livingston-cdcms,ny-schenectady-cdcms,ny-schoharie-cdcms,ny-schuyler-cdcms,ny-cayuga-cdcms,ny-clinton-cdcms,ny-warren-cdcms,ny-westchester-cdcms,ny-wyoming-cdcms,ny-viaduct-suf-cdcms,ny-washington-cdcms,ny-wayne-cdcms,ny-yates-cdcms,ny-tompkins-cdcms,ny-viaduct-state-cdcms,ny-ulster-cdcms"
production,ms-test-space,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ny-performance-cdcms-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,l10k2020ethiopia-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,jennifertest
production,ny-niagara-cdcms,PRODUCT,CommCare Paused Edition,True,
production,500k-load,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,co-support,IMPLEMENTATION,CommCare Paused Edition,True,
production,nj-covid-atlantic,,,,
production,casesearch-3,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ush-web-user-ga,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-hamilton-cdcms,PRODUCT,CommCare Paused Edition,True,
production,camden-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-training,,,,
production,ny-madison-cdcms,PRODUCT,CommCare Paused Edition,True,
production,jfuller-inddex-push-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,hl-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-steuben-cdcms,PRODUCT,CommCare Paused Edition,True,
production,co-montezuma,,,,
production,ny-onondaga-cdcms,PRODUCT,CommCare Paused Edition,True,
production,nphcda-echis,IMPLEMENTATION,CommCare Paused Edition,True,
production,kcho-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,philly-covid19-dev,,,,"lil-phil-test,https://staging.commcarehq.org/a/covid-philly-staging/"
production,case-search-and-claim,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,jonathantangtest,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ny-performance-cdcms,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,mirror2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,swat,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,qateam,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"test-dev,downstream-reports,let-sdoit,qa-automation-prod,qateam,anshutest"
production,mobiledemo,,,,
production,kenya-vca,PRODUCT,CommCare Paused Edition,,
production,ops_summit-1,,,,
production,ccc-test-space,INTERNAL,Dimagi Only CommCare Enterprise Edition,,ccc-chc-kikapu
production,ny-yates-cdcms,PRODUCT,CommCare Paused Edition,True,
production,sujukwa-chc,IMPLEMENTATION,CommCare Paused Edition,,ccc-test-space
production,kai-2025,INTERNAL,Dimagi Only CommCare Enterprise Edition,,nile-special
production,ny-cayuga-cdcms,PRODUCT,CommCare Paused Edition,True,
production,wv-sahel-rca,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,laboratory,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,campagne-benin,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,,
production,tcb-it,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,test-20190731,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,test-20190731-linked
production,gorongosa-staging,PRODUCT,CommCare Paused Edition,,
production,ny-lewis-cdcms,PRODUCT,CommCare Paused Edition,True,
production,survivorcare,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ak-covid19-tracker-prod,PRODUCT,CommCare Paused Edition,True,
production,navajo-covid19-staging,PRODUCT,CommCare Paused Edition,,
production,co-carecoordination-test,SANDBOX,Enterprise Plan for State of Colorado: Capacity and Central Registries,True,
production,inddex-vietnam-lang-vie,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,demo-183,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ccc-chc-eha-c-2024-25,IMPLEMENTATION,Enterprise Plan for CommCare Connect,,
production,ihc-dev,PRODUCT,CommCare Paused Edition,True,gh747-team-ihc
production,co-carecoordination-auto,IMPLEMENTATION,CommCare Paused Edition,True,
production,tcrhcc-sti,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,nhooper,NOT_SET,Dimagi Only CommCare Enterprise Edition,True,https://staging.commcarehq.org/a/ap-test-project/
production,sick-cells-cbo,INTERNAL,Dimagi Only CommCare Enterprise Edition,,"scdai,sctpn,supporters-ok-sickle-cell,scdaa-philly-del,axis-advocacy,sick-cells-cbo-training"
production,testpenda,,,,
production,ccc-readers-test,INTERNAL,Enterprise Plan for Connect - test spaces,,
production,ccc-chc-1,PRODUCT,CommCare Paused Edition,True,"charles-sandbox,c-wins-chc"
production,co-chaffee,,,,
production,test-lang-inddex,PRODUCT,CommCare Community Edition (With ERM),,
production,qa-automation,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,franks-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,fh-ethiopia-training,PRODUCT,CommCare Paused Edition,,
production,benin-template-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-pueblo,,,,
production,commcare-fundamentals-14,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,vectorlink-ethiopia,PRODUCT,CommCare Paused Edition,,
production,co-teller,,,,
production,hungry-hippo-ethan,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,campaign-botswana,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,mk-test-space,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,bosco,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"enough,bosco-linked,fourth-story-window,acoffeemachineinanoffice"
production,ff-analysis-livhu,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-jackson,,,,
production,ny-schenectady-cdcms,PRODUCT,CommCare Paused Edition,True,
production,jamaica-vax-training,PRODUCT,CommCare Paused Edition,,
production,ush-dedupe-template,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
