"Place","Population"
"BATAVIA",79974
"GUILFORD",79907
"BUENA PARK",79814
"PLEASANTON",79794
"UPLAND",79664
"STILLWATER",79426
"RICHFIELD",79406
"WESTLAND",79099
"UPPER DARBY",78929
"BRICK",78809
"PONTIAC",78739
"EDINBURG",78710
"FARMINGTON HILLS",78675
"SAN LEANDRO",78620
"PRINCETON",78509
"LYNWOOD",78405
"LOVELAND",78082
"REDMOND",78044
"DEERFIELD",77942
"JONESBORO",77938
"OSWEGO",77604
"UTICA",77417
"BALDWIN PARK",77198
"WAUKESHA",77151
"ENGLEWOOD",77054
"WEST CHESTER",76954
"ASHEVILLE",76636
"BEND",76621
"SUMMIT",76567
"HARRISBURG",76519
"MERCED",76274
"APPLETON",76132
"BELMONT",75669
"SCRANTON",75361
"NAPA",75297
"MISSOURI CITY",75203
"DEERFIELD BEACH",75185
"YPSILANTI",75003
"SOMERSET",74790
"YOUNGSTOWN",74666
"EXETER",74603
"REDWOOD CITY",74508
"NEW ROCHELLE",74323
"VICTORIA",74237
"BLOOMINGTON CITY",74184
"ARLINGTON HEIGHTS",73996
"BELLFLOWER",73939
"MACOMB",73930
"ABINGTON",73892
"CHINO HILLS",73889
"ROCK HILL",73852
"COLERAIN",73840
"POUGHKEEPSIE",73727
"MONTCLAIR",73607
"RICH",73530
"PLAIN",73250
"LARGO",73215
"PALM COAST",73168
"HOOVER",72988
"GASTONIA",72934
"MAPLE GROVE",72850
"SMITHFIELD",72775
"TUSTIN",72762
"JAMESTOWN",72726
"BAYTOWN",72563
"FREDERICK",72323
"GERMANTOWN",72265
"BROOKLYN PARK",72218
"SHERMAN",72102
"PAWTUCKET",71953
"SCOTT",71840
"HEMET",71801
"ST JOHN",71733
"LEAGUE CITY",71722
"NEW CASTLE",71663
"LORAIN",71609
"CENTERVILLE",71568
"LAKE CHARLES",71475
"COMMERCE",71377
"ALAMEDA",71204
"FISHERS",71052
"ST CLAIR",70913
"BOLINGBROOK",70881
"CHERRY HILL",70799
"FOLSOM",70599
"WOODLAND",70500
"DAVIS",70306
"FLOWER MOUND",70202
"LIVINGSTON",70089
"JANESVILLE",70051
"WHITEHALL",70031
"REDLANDS",69976
"MURRAY",69870
"HAVERHILL",69703
"BOYNTON BEACH",69654
"ROGERS",69641
"LEESBURG",69353
"HIGHLAND PARK",69307
"ROCHESTER HILLS",69209
"NORWOOD",69134
"MONTEBELLO",69017
"IOWA CITY",68903
"ROCKVILLE",68897
"MISSOULA",68876
"HASTINGS",68814
"LACEY",68733
"HOWELL",68715
"TURLOCK",68712
"ALTOONA",68685
"WALNUT CREEK",68550
"SUPERIOR",68511
"RYE",68473
"MUNCIE",67936
"MILPITAS",67895
"KENNER",67846
"TEMPLE",67831
"KENNEWICK",67814
"MAPLEWOOD",67698
"DOTHAN",67560
"OSHKOSH",67534
"LAUDERHILL",67450
"BLAINE",67417
"LAKEVILLE",67374
"MANHATTAN",67372
"TEXARKANA",67324
"FRAMINGHAM",67185
"EAU CLAIRE",67148
"RAPID CITY",67107
"PASSAIC",67060
"WABASH",67035
"LAYTON",66971
"GERMAN",66909
"HOMER",66868
"HOMESTEAD",66725
"REDONDO BEACH",66711
"WEST BLOOMFIELD",66608
"SKOKIE",66468
"GOODYEAR",66308
"IRVINGTON",66236
"PHARR",66231
"YORBA LINDA",66120
"NORTH RICHLAND HILLS",66010
"OLD BRIDGE",65942
"GRAND ISLAND",65934
"FITCHBURG",65895
"KNIGHT",65888
"DELHI",65852
"MANTECA",65631
"JEFFERSONVILLE",65625
"VIENNA",65580
"NEWTOWN",65544
"MOORE",65454
"PALM SPRINGS",65345
"HARLINGEN",65289
"EAST ORANGE",65152
"GARFIELD",65031
"DELRAY BEACH",64691
"LAGUNA NIGUEL",64680
"FORT MYERS",64674
"NEW ALBANY",64614
"NEWBURGH",64423
"CEDAR PARK",64415
"EAGAN",64235
"ROCKY MOUNT",64101
"BISMARCK",64082
"CAMARILLO",63948
"CAMPBELL",63837
"DAYTONA BEACH",63795
"TAYLORSVILLE",63674
"COON RAPIDS",63651
"MAYWOOD",63350
"BOSSIER CITY",63258
"STRATFORD",63212
"RANCHO CORDOVA",62939
"WINDHAM",62915
"PICO RIVERA",62895
"WEST HAVEN",62888
"SOUTH SAN FRANCISCO",62830
"STAFFORD",62822
"MONTICELLO",62717
"CALEDONIA",62681
"KISSIMMEE",62632
"WALTHAM",62507
"WARNER ROBINS",62500
"EDEN PRAIRIE",62407
"BURNSVILLE",62336
"EAGLE",62199
"RENTON",62076
"RUTLAND",62073
"DOUGLAS",62006
"BROOKLINE",61820
"WINSLOW",61810
"JOHNS CREEK",61794
"SAN CLEMENTE",61610
"ENCINITAS",61593
"BROWN",61591
"YUBA CITY",61584
"MONTEREY PARK",61571
"SCHENECTADY",61469
"SPARTA",61393
"KIRKLAND",61390
"GREAT FALLS",61382
"PALO ALTO",61245
"HILLSBOROUGH",61129
"MERIDEN",61098
"MALDEN",61095
"WEST HARTFORD",60852
"BANGOR",60768
"WEST ALLIS",60753
"HUNTINGTON PARK",60641
"COVENTRY",60616
"FLAGSTAFF",60611
"MARLBOROUGH",60610
"GROTON",60595
"HENDERSONVILLE",60555
"HAMDEN",60555
"SPENCER",60470
"PARKER",60393
"ST CLAIR SHORES",60321
"TERRE HAUTE",60155
"NORTH LITTLE ROCK",60139
"GAITHERSBURG",59986
"COUNCIL BLUFFS",59911
"ROYAL OAK",59894
"TAMARAC",59740
"OAKDALE",59649
"GRAND JUNCTION",59593
"CALDWELL",59540
"AMES",59514
"WHEATON",59487
"LA HABRA",59410
"STERLING",59410
"VINELAND",59333
"TINLEY PARK",59140
"MILLCREEK",58969
"BOWIE",58913
"CHEYENNE",58846
"FALL CREEK",58830
"BENSALEM",58715
"RIVERTON",58706
"DELANO",58702
"PASCO",58647
"ENFIELD",58599
