"Place","Population"
"WEST HOMESTEAD",1992
"METAL",1991
"MUSCODA",1991
"SPRINGCREEK",1990
"WATKINS GLEN",1989
"GERRY",1988
"BUCKFIELD",1985
"GLOUSTER",1983
"FISH LAKE",1983
"MERRIONETTE PARK",1983
"HAWKINS",1983
"NEDROSE",1982
"MOWEAQUA",1982
"SOUTH SHENANGO",1981
"COEBURN",1979
"BROOKWOOD",1979
"CHURCHVILLE",1978
"HIGH PRAIRIE",1977
"ELLINWOOD",1977
"HEMBY BRIDGE",1977
"TOPTON",1977
"LECOMPTON",1976
"VILLAGE OF THE BRANCH",1976
"MONKTON",1976
"MORIARTY",1975
"ORIENT",1974
"SHINER",1973
"CHATEAUGAY",1973
"BRILEY",1973
"FAWN CREEK",1971
"THREE FORKS",1970
"BROKENSTRAW",1970
"PRIEST RIVER",1969
"MELLEN",1969
"GOLIAD",1967
"MONT ALTO",1967
"ST PARIS",1966
"KEYSTONE",1966
"ROUNDUP",1966
"KERSHAW",1965
"TULLYTOWN",1964
"HOYT LAKES",1964
"MENOKEN",1963
"RIDGEBURY",1961
"GLEN GARDNER",1961
"DUMMERSTON",1960
"NEW JOHNSONVILLE",1960
"WILLAMINA",1960
"BRANCHVILLE",1960
"WEESAW",1960
"CURTIS",1960
"LAKE BUTLER",1959
"COAL CREEK",1958
"OSBORN",1958
"GUYTON",1957
"HILDALE",1956
"CAMBRIDGE CITY",1956
"PEPIN",1956
"HUACHUCA CITY",1956
"PEARSON",1955
"NASEWAUPEE",1955
"LANGHORNE",1955
"SOUTHWEST HARBOR",1954
"SULLIGENT",1954
"NORTH BLOOMFIELD",1954
"SPRUCE PINE",1954
"ARCANUM",1954
"ROCKAWAY BEACH",1954
"TWIN CITY",1952
"LAKE NO 2",1952
"SUNRAY",1951
"WELLTON",1951
"CAMPBELLSPORT",1950
"CURRAN",1950
"ELBERTA",1948
"WEBBERVILLE",1948
"WAURIKA",1948
"ODIN",1948
"NINETY SIX",1947
"EAST NANTMEAL",1946
"NORTH BELLE VERNON",1946
"OAKHAM",1946
"PLEASANT RUN",1945
"STARKSBORO",1944
"EAST PITTSBURGH",1944
"SNEADS",1943
"KOHLER",1942
"LIND",1941
"LAKESITE",1940
"RALLS",1940
"WESTERNPORT",1940
"NORTH NORWICH",1939
"ROCKWELL CITY",1939
"PEQUOT LAKES",1936
"CHESILHURST",1936
"CRUGER",1935
"COLQUITT",1934
"CHERRY RIDGE",1934
"DUNNELLON",1933
"PIKETON",1933
"WHISKEY RUN",1932
"BEMENT",1931
"NEAVE",1931
"OSBORNE",1931
"MAYNARDVILLE",1930
"ETNA-TROY",1930
"ROGUE RIVER",1928
"BAR NUNN",1926
"PINK",1926
"FONTANA-ON-GENEVA LAKE",1926
"CLE ELUM",1925
"BERRIEN SPRINGS",1923
"WEATHERBY LAKE",1923
"WEST PENNINGTON",1922
"INLAND",1922
"UPPER BROOKVILLE",1921
"SHOAL CREEK",1919
"SOUTH CENTRE",1919
"AVENA",1919
"LEESPORT",1917
"FARMER CITY",1917
"ENGLISHTOWN",1916
"MARFA",1916
"MOUNT HOLLY SPRINGS",1915
"SUGAR CITY",1915
"COALGATE",1914
"NAVASSA",1913
"WAPELLO",1913
"MOUND BAYOU",1913
"DAVISBORO",1911
"SELBYVILLE",1911
"STEWART MANOR",1910
"DAMARISCOTTA",1910
"NAPAVINE",1910
"OSGOOD",1910
"BLUE",1910
"MAINE PRAIRIE",1909
"DEER ISLE",1909
"GOLD BEACH",1907
"ROMNEY",1907
"HELPER",1906
"CLARKTON",1906
"LAUREL SPRINGS",1906
"RENSSELAERVILLE",1905
"ADVANCE",1905
"ABRAMS",1904
"BALD EAGLE",1904
"PIERZ",1902
"NEW ALBION",1901
"BLACK EARTH",1900
"CONNELLY SPRINGS",1900
"BUTMAN",1900
"SOUTH ARM",1900
"EAST DUBUQUE",1899
"MEADOWLAKES",1899
"WEEDSPORT",1899
"STRATTON",1898
"QUESTA",1898
"FIELD",1895
"UPPER NYACK",1895
"DES ARC",1894
"MIDLAND CITY",1892
"NAVARRE",1892
"LOWER ALLOWAYS CREEK",1892
"LATTINGTOWN",1892
"SULLIVAN'S ISLAND",1891
"ISLAND HEIGHTS",1891
"SANDYSTON",1890
"HOLLIDAY",1890
"ELLICOTTVILLE",1890
"EVANS CITY",1889
"TYLERTOWN",1889
"CASSOPOLIS",1888
"FRANKTON",1888
"VEAZIE",1887
"OTISVILLE",1887
"STODDARD",1887
"NILE",1886
"BIG TIMBER",1886
"FAIRPLAIN",1886
"NELIGH",1886
"BANNOCKBURN",1886
"BOGARD",1884
"GROUT",1883
"MAROA",1883
"SPRING PARK",1881
"CAVALIER",1879
"ZERBE",1878
"HENRY CLAY",1877
"DRIPPING SPRINGS",1875
"AU GRES",1874
"VALATIE",1874
"NORTH BEACH",1873
"PRAIRIETON",1873
"BLUFF CITY",1873
"CORRIGAN",1873
"FRENCH CREEK",1872
"KALAMO",1872
"FLORALA",1872
"KOUTS",1871
"WEIR",1870
"SOAP LAKE",1870
"COUPEVILLE",1869
"NATALIA",1869
"GUNTOWN",1868
"LIME",1867
"ETTRICK",1867
"COMINS",1866
"CONQUEST",1866
"TAWAS CITY",1865
"SUTHERLAND",1865
"NORTH JUDSON",1865
"OKAWVILLE",1864
"BRITT",1862
"BRITTON",1862
"CENTURY",1862
"LIBERTY GROVE",1860
"UPPER FAIRFIELD",1860
"HUMPHREY",1860
"MOUNT AYR",1859
"EMERALD",1858
"STAMPS",1858
"ABBOTSFORD",1858
"UPPER FRANKFORD",1856
"ELLAVILLE",1856
"STONEWOOD",1856
"SMACKOVER",1856
"SHADELAND",1855
"ASTATULA",1855
"COLRAIN",1855
"LAPEL",1854
"LOSTCREEK",1853
"WALL LAKE",1852
"TRAINER",1852
"OMEGA",1851
"LOWER FRANKFORD",1851
"CANADICE",1849
"RANCHO VIEJO",1847
"BLUMFIELD",1847
"GANADO",1847
"LA GRULLA",1847
"CARNATION",1846
"SOUTH WHITLEY",1846
"LONE STAR",1845
"DOYLE",1845
"LANGLEY",1845
"BRIDGE CREEK",1844
"WANO",1843
"GRUETLI-LAAGER",1843
"HILDEBRAN",1843
"SOLWAY",1842
"FOREST HOME",1842
"HOFFMAN",1842
"GOLDSBY",1842
"PORTERDALE",1841
"LEACHVILLE",1841
"SOUTH HERO",1841
"WILLSBORO",1840
"EDMESTON",1840
"WARSON WOODS",1840
"MEADE CENTER",1839
"LOVELOCK",1838
"NEW TOWN",1838
"BIWABIK",1837
"ITTA BENA",1837
"SHUTESBURY",1836
"MINCO",1836
"CATLETTSBURG",1835
"JAMES",1835
"MONA",1834
"HARPERSVILLE",1834
"CRAB ORCHARD",1834
"WEST FRANKLIN",1833
"SPRUCE",1832
"BRUSH VALLEY",1832
"CENTRAL CORSON",1831
"GILA BEND",1831
"ANNA MARIA",1831
"DEMOREST",1830
"MOHICAN",1830
"BUCKHART",1829
"LOWE",1828
"HONEY GROVE",1828
"DRAVOSBURG",1827
"ASHFIELD",1827
"SILVER BAY",1826
"KANEVILLE",1826
"BARNUM",1825
"BROOKSIDE VILLAGE",1824
"ALABAMA",1823
"BRADDOCK HILLS",1823
"ST GERMAIN",1821
"GOODWELL",1821
"LEAF RIVER",1821
"OPPENHEIM",1820
"PINE LEVEL",1820
"STONEY CREEK",1820
"SURGOINSVILLE",1820
"PHENIX",1819
"WYANETT",1819
"KERENS",1819
"PARCHMENT",1818
"PEEBLES",1817
"HUGHES SPRINGS",1816
"BIGGS",1815
"PAGOSA SPRINGS",1815
"OLD RIVER-WINFREE",1812
"BELINGTON",1811
"BUTTERNUTS",1811
"TARKIO",1810
"ARGOS",1810
"SUGAR CAMP",1809
"BROAD TOP",1809
"CLEVER",1809
"SEA BRIGHT",1808
"OLDMANS",1808
"WHITE CASTLE",1808
"NORTHEAST FALL RIVER",1807
"CHURUBUSCO",1807
"SPRINGER",1806
"WIND POINT",1806
"BROTHERTOWN",1806
"NORTONVILLE",1806
"SOUTH ROXANA",1805
"FAYAL",1802
"BECKET",1802
"MOUNT FOREST",1802
"LEMONWEIR",1801
"RECTOR",1801
"EASTFORD",1800
"ELLENBURG",1799
"DALLAS CENTER",1799
"CAVE SPRINGS",1797
"TRUMANSBURG",1796
"EAST SPENCER",1796
"ARCHER",1794
"KRUGERVILLE",1793
"SOUTH MAHONING",1793
"DUNSMUIR",1792
"ARCHER CITY",1791
"SANDY HOOK",1790
"ROARING BROOK",1790
"PHILLIPSTON",1787
"LEVERETT",1787
"CHASSELL",1786
"IRRIGON",1786
"VINITA PARK",1785
"RIDGETOP",1785
"MAXWELL",1785
"WOODMONT",1784
"BRACKETTVILLE",1784
"HATCH",1784
"HARRISTOWN",1783
"FUGIT",1779
"NEW OXFORD",1779
"LAKE COMO",1778
"CROSS CITY",1777
"MADBURY",1774
"GREYBULL",1774
"CENTRAL SQUARE",1773
"HOWARD CITY",1773
"LYNDEBOROUGH",1773
"BROOKLAND",1772
"BEN AVON",1771
"SHELBINA",1771
"CALHOUN CITY",1770
"SHELL ROCK",1770
"PORT CARBON",1770
"SOUR LAKE",1769
"SOUTH CANAAN",1766
"PAINTED POST",1765
"ERIENNA",1765
"MERIDIAN HILLS",1765
"BUTTERFIELD",1764
"OLIVE HILL",1764
"REEDER",1764
"WESSON",1763
"INDIAN SHORES",1763
"RITZVILLE",1762
"PENNINGTON GAP",1761
"WEST COOK",1760
"REFORM",1759
"LAMARTINE",1759
"HORNBY",1759
"WEST BATH",1758
"BARNET",1758
"RED LAKE FALLS",1758
"RAMSEUR",1758
"BURNS FLAT",1756
"NEW VIENNA",1756
"RINGLE",1755
"BERNIE",1755
"PRAIRIE DU LONG",1754
"PREEMPTION",1754
"OAKES",1752
"WEST ST CLAIR",1751
"WORTHINGTON HILLS",1751
"EAU PLEINE",1750
"SIREN",1749
"NORTH YORK",1748
"COLUMBUS JUNCTION",1748
"MONTOUR FALLS",1747
"HELEN",1746
"GODLEY",1746
"LAMBERT",1746
"SOUTH AMHERST",1745
"ONARGA",1744
"INOLA",1741
"ALEPPO",1740
"APPOMATTOX",1740
"WARRIORS MARK",1739
"SORRENTO",1738
"EAGLE RIVER",1738
"ZWOLLE",1737
"LA PRAIRIE",1737
"WAUSAUKEE",1737
"FORESTPORT",1737
"BROCTON",1736
"BECCARIA",1736
"WORDEN",1736
"WILCOX",1735
"POPLAR",1735
"FORT BERTHOLD",1735
"SCHROON",1735
"DE PUE",1735
"CHILHOWIE",1735
"NORTH STAR",1734
"MINERAL",1734
"WEST UNITY",1733
"ZOLFO SPRINGS",1731
"OWENS CROSS ROADS",1730
"PARSONSFIELD",1730
"MIDDLE CREEK",1729
"SUNDOWN",1728
"LESTER PRAIRIE",1728
"ROCKCREEK",1728
"KEESEVILLE",1727
"DRYWOOD",1726
"WENDOVER",1725
"ESTELL MANOR",1724
"APPALACHIA",1724
"MORETOWN",1724
"KLINE",1723
"NORTH PEKIN",1722
"DUCK HILL",1722
"CLARKESVILLE",1722
"GOLDTHWAITE",1721
"JOHNSONVILLE",1721
"CHOTEAU",1718
"RED CEDAR",1718
"WEST PIKE RUN",1718
"CANNON BEACH",1718
"EAST MILLINOCKET",1718
"EMBARRASS",1718
"AVISTON",1718
"VARICK",1717
"WILSON'S MILLS",1716
"MILL CITY",1716
"FORK",1716
"COWAN",1715
"SAN JUAN BAUTISTA",1715
"NASHWAUK",1715
"BURT",1714
"WHITEWRIGHT",1714
"CRIDERSVILLE",1714
"BIG MOUND",1713
"FELTON",1713
"RIVER HEIGHTS",1713
"ROME CITY",1712
"SHELL LAKE",1711
"BERTRAM",1708
"MCMECHEN",1707
"CLARKSFIELD",1706
"SHOREWOOD HILLS",1705
"HANSEN",1705
"RAYBURN",1704
"FARLEY",1703
"GALE",1703
"EAGLESWOOD",1703
"DUCHESNE",1702
"GRANT PARK",1701
"LIMON",1700
"SCANDINAVIA",1697
"CHESWICK",1697
"HOMER CITY",1696
"EAST CARROLL",1696
"BELLMONT",1695
"IDAHO SPRINGS",1695
"ZILWAUKEE",1694
"TEKAMAH",1693
"PERRYOPOLIS",1692
"WAITSFIELD",1692
"WEWAHITCHKA",1692
"COOSADA",1690
"RAILROAD",1690
"FERRY",1690
"NEWAYGO",1689
"ORAN",1689
"VANCEBURG",1688
"DILLSBORO",1688
"DUSON",1687
"PERSHING",1687
"TEKONSHA",1687
"RIVER HILLS",1686
"SPAFFORD",1685
"FLOWERFIELD",1685
"DOWNE",1685
"MCEWEN",1685
"BISCOE",1684
"PELICAN BAY",1683
"LORENA",1683
"NORTH BETHLEHEM",1683
"LE SAUK",1681
"OTISFIELD",1680
"EPHRATAH",1680
"BUCKLIN",1680
"UPPER BERN",1679
"KINNICKINNIC",1678
"HOLLEY",1676
"NEW PARIS",1676
"SPLENDORA",1675
"MARROWBONE",1673
"FOUNTAIN CITY",1673
"CRESTED BUTTE",1673
"LOCKNEY",1672
"ST REGIS PARK",1672
"ST MARY",1671
"ELYSIAN",1671
"FAIRGROVE",1670
"DEERCREEK",1670
"LOWER MAHANOY",1669
"BLANCO",1669
"SISTERS",1669
"TURBOT",1668
"ROSETO",1666
"BAYOU VISTA",1665
"WILLSHIRE",1664
"BALTIC",1664
"BLADENBORO",1663
"COWARTS",1662
"HALBERT",1662
"REEDSVILLE",1662
"CROFTON",1662
"ALBA",1661
"BRAHAM",1660
"LITTLE MACKINAW",1660
"HATTON",1660
"CUSSEWAGO",1660
"HOSCHTON",1660
"EAST LACKAWANNOCK",1660
"LEBOEUF",1660
"WEST HUGHES",1658
"COLBERT",1658
"COSMOPOLIS",1658
"MARS",1658
"SOUTHSIDE PLACE",1658
"NEKIMI",1657
"WARREN PARK",1657
"ZEIGLER",1657
"WARROAD",1655
"FENNER",1655
"TENINO",1654
"MINNEOTA",1654
"ARCADA",1654
"FAWN RIVER",1654
"MARENISCO",1654
"CREIGHTON",1654
"REINBECK",1653
"NEW RICHLAND",1653
"OCEAN RIDGE",1653
"SPRIGG",1652
"POWHATAN POINT",1652
"CAMP POINT",1652
"LYCOMING",1650
"OAKPORT",1649
"PAONIA",1649
"MOVILLE",1649
"MARKS",1649
"APPLE RIVER",1648
"SOUTH ROCKWOOD",1648
"MOORE HAVEN",1648
"CAVE",1647
"MELVILLE",1647
"BAIRD",1647
"CONVIS",1647
"CARBON CLIFF",1646
"MOORELAND",1646
"WEST PARIS",1645
"MUENSTER",1645
"PLUM GROVE",1644
"SHOREACRES",1644
"BURKESVILLE",1644
"SABINAL",1644
"LEWISPORT",1643
"JACKSON CENTER",1643
"IDEAL",1642
"BOYCE",1642
"OSSINEKE",1642
"EPWORTH",1642
"SYLVAN LAKE",1640
"SOUTHERN VIEW",1640
"ALVORD",1640
"MINETTO",1640
"KENTLAND",1639
"OWINGSVILLE",1639
"HURSTBOURNE ACRES",1639
"LEVAN",1639
"LUTHER",1639
"MONEY CREEK",1638
"UPPER TULPEHOCKEN",1638
"PLENTYWOOD",1638
"ANCRAM",1638
"NOBLEBORO",1638
"GIRARDVILLE",1638
"BROOKSTON",1636
"BURNT CREEK-RIVERVIEW",1636
"TRIMBELLE",1635
"WOODCREEK",1635
"LITTLE RIVER-ACADEMY",1634
"OWLS HEAD",1634
"DEPOSIT",1634
"WOLFE CITY",1633
"SPENCER BROOK",1632
"KIEFER",1632
"MCCAMEY",1631
"GNESEN",1631
"NEWFIELDS",1630
"HARPER",1630
"DIANA",1629
"MOUNDRIDGE",1628
"THORNTOWN",1627
"HARBISON",1627
"HALSEY",1627
"FORT TOTTEN",1626
"PRINCES LAKES",1626
"CAYUGA",1626
"PETERSBURGH",1626
"KAW",1625
"NUTTER FORT",1625
"GRAND MEADOW",1625
"BREEZY POINT",1625
"READE",1625
"ELLENBORO",1624
"MCCLEARY",1621
"CLATSKANIE",1621
"HERSCHER",1619
"ELLIJAY",1618
"MANSON",1618
"DEER RIVER",1618
"NISSEQUOGUE",1618
"INGLIS",1618
"KINCAID",1617
"GORMAN",1617
"VALLEY FALLS",1617
"DAWSONVILLE",1617
"MILLGROVE",1616
"COITSVILLE",1616
"GALIEN",1615
"NOEL",1615
"ONAMIA",1615
"BURRITT",1615
"FINE",1615
"PEWEE VALLEY",1615
"PORT GIBSON",1615
"TORREY",1613
"LUDOWICI",1613
"TRACY CITY",1613
"TAWAS",1613
"CASTINE",1612
"WELLMAN",1612
"MECHANICSVILLE",1611
"JONESFIELD",1610
"SHOSHONE",1610
"MARMET",1609
"WEST TAWAKONI",1609
"REHOBOTH BEACH",1609
"MARTINY",1607
"EDMONTON",1607
"STOCKTON SPRINGS",1607
"EDEN LAKE",1607
"APOLLO",1605
"VARNELL",1605
"OCONEE",1604
"SAXONBURG",1604
"WEST LEBANON",1604
"RIB LAKE",1603
"TUCKERMAN",1603
"CANOE",1603
"CROOKED CREEK",1603
"RANDOM LAKE",1602
"DAUPHIN ISLAND",1601
"SNAKE SPRING",1601
"EAST CANTON",1601
"AULT",1601
"VILLAGE OF FOUR SEASONS",1601
"MEDIAPOLIS",1601
"SOUTH FLORAL PARK",1601
"HOLSTEIN",1599
"BETHEL HEIGHTS",1598
"ERVING",1598
"NICOLLET",1597
"SCOTTVILLE",1597
"PICKFORD",1596
"LICKING CREEK",1594
"CASTLE DALE",1594
"YOUNG AMERICA",1593
"WESTHAMPTON",1593
"DEL NORTE",1592
"LOWER MIFFLIN",1592
"GUEYDAN",1591
"CARP LAKE",1591
"CEREDO",1591
"EDGEWORTH",1591
"CROSBYTON",1591
"NORTH LEWISBURG",1590
"NEW MIDDLETOWN",1590
"WALNUT COVE",1590
"MARMATON",1589
"WANAMINGO",1589
"FORT COVINGTON",1588
"KINSLEY",1588
"NEW BEAVER",1588
"MUNFORDVILLE",1587
"STILES",1587
"BABBITT",1587
"HARBOR BEACH",1587
"ONTELAUNEE",1586
"COMPROMISE",1586
"WEST TURIN",1586
"FRANCESTOWN",1586
"PIKE BAY",1586
"SMITH CENTER",1585
"GRAYVILLE",1585
"BARK RIVER",1585
"PORT DICKINSON",1585
"EAST BEND",1584
"ESTANCIA",1584
"TONKA BAY",1583
"ROLLINGSTONE",1583
"WHITWELL",1583
"MERCERSBURG",1581
"SALT LICK",1581
"CANYONVILLE",1580
"MASSIE",1580
"DISTRICT",1579
"BROOKLYN HEIGHTS",1579
"BELLEAIR BEACH",1578
"WHITMIRE",1578
"GOULD",1577
"THURMAN",1577
"BRADENTON BEACH",1577
"MAZON",1577
"GILBOA",1575
"HASLET",1575
"WHATELY",1573
"MOUNT HALEY",1572
"CRESSONA",1572
"MAZEPPA",1572
"ANSTED",1571
"MAYER",1571
"BERMUDA RUN",1571
"RECOVERY",1570
"MCCONNELSVILLE",1570
"WATTS",1566
"SENATH",1566
"FERRON",1566
"GRANT VALLEY",1565
"STEWART",1565
"FROHN",1565
"CLEMENT",1565
"DANFORTH",1564
"DANUBE",1564
"SEBAGO",1564
"PINE KNOLL SHORES",1563
"BILTMORE FOREST",1562
"SALYERSVILLE",1562
"REPUBLICAN",1562
"TOMBSTONE",1562
"GLENMORA",1561
"BUCKS",1561
"BRUCEVILLE-EDDY",1560
"FLAMBEAU",1560
"TOWER CITY",1560
"EARLINGTON",1559
"GOODHUE",1559
"KAMAS",1558
"WYMORE",1558
"MARRIOTT-SLATERVILLE",1557
"EVELINE",1557
"KIMMEL",1556
"MCINTOSH",1556
"NOVESTA",1554
"SOUTH THOMASTON",1553
"GEORGE",1552
"GEORGIANA",1552
"ROXANA",1552
"HARBOR SPRINGS",1551
"SMETHPORT",1551
"MULLENS",1550
"FIELDS CREEK",1549
"ADAMSTOWN",1549
"PALM BEACH SHORES",1548
"PICHER",1547
"CATAWBA",1546
"OVERFIELD",1546
"CASTLETON-ON-HUDSON",1545
"BANGS",1544
"NORTH MAHONING",1544
"SUSQUEHANNA DEPOT",1544
"MCCLELLAN",1543
"HEAD OF THE HARBOR",1543
"MANSURA",1543
"TRAER",1541
"BASS RIVER",1541
"CLARKS GREEN",1540
"FLOMATON",1540
"DEL REY OAKS",1540
"CHERRYTREE",1540
"MARATHON CITY",1539
"SUN VALLEY",1538
"VIAN",1538
"BASIN",1537
"SHINGOBEE",1537
"ELEANOR",1537
"SWEET SPRINGS",1537
"ROBERSONVILLE",1537
"POTTAWATOMIE",1536
"AZTALAN",1536
"LANDOVER HILLS",1536
"MCCRORY",1535
"SYLVAN SPRINGS",1535
"STOW CREEK",1534
"WILLACOOCHEE",1533
"SOUTH HOMER",1533
"APACHE",1532
"CONSTABLE",1532
"BAILEYVILLE",1531
"KENTUCKY",1531
"RUSSELLS POINT",1530
"PLEASANT MOUND",1530
"PATTON VILLAGE",1530
"WAKESHMA",1529
"WATERMAN",1529
"KOYLTON",1528
"NEW DENMARK",1528
"CAESARSCREEK",1528
"HOLMES",1528
"LEVEL PLAINS",1527
"CAPITAN",1527
"INTERLAKEN",1527
"FORREST",1527
"EAST HAZEL CREST",1527
"EDGINGTON",1526
"UNION POINT",1526
"PINE PRAIRIE",1526
"BENONA",1526
"DELL PRAIRIE",1526
"SOUTH SHORE",1525
"GLADE SPRING",1525
"LOUP",1525
"MYERSVILLE",1525
"JUBILEE",1525
"PUSHETA",1525
"GORDO",1523
"FRENCHCREEK",1520
"INWOOD",1520
"ALEXIS",1519
"FAIRMOUNT HEIGHTS",1519
"HUNTINGTON BAY",1519
"WEST BARABOO",1519
"EAST OAKLAND",1519
"BRAZEAU",1519
"SHABBONA",1518
"CONESVILLE",1518
"SOLOMON",1517
"EAST FINLEY",1517
"LUNA PIER",1517
"OAK LEAF",1516
"ODELL",1515
"RIO",1514
"EASTPORT",1514
"BENAVIDES",1514
"LARRABEE",1513
"CLARNO",1513
"RUMLEY",1512
"KEMP",1511
"EMORY",1511
"ARMA",1510
"SEBREE",1510
"DARMSTADT",1508
"NEW MARLBOROUGH",1508
"CENTERBURG",1508
"LUBEC",1508
"KEYSTONE HEIGHTS",1507
"FRIENDSVILLE",1507
"NEWCOMB",1507
"NORTHEAST",1507
"TERRA ALTA",1506
"PILOT ROCK",1505
"ONEKAMA",1505
"WINDEMERE",1505
"CROTHERSVILLE",1504
"AUSTERLITZ",1504
"STEPHENS CITY",1503
"NEW AUBURN",1503
"MEEME",1502
"RONCEVERTE",1502
"MAPLE RIVER",1502
"PANGUITCH",1502
"ACKERMAN",1502
"SHREVE",1502
"WEST YELLOWSTONE",1502
"WEST BUECHEL",1502
"DERUYTER",1501
"ROUBIDOUX",1500
"WEST CONSHOHOCKEN",1500
"CUMBERLAND VALLEY",1499
"DIMOCK",1499
"CHERRY GROVE-SHANNON",1497
"SHULLSBURG",1497
"BENTLEY",1497
"EAST MEAD",1496
"INTERLACHEN",1496
"GUTHRIE CENTER",1495
"PELAHATCHIE",1495
"LA VALLE",1495
"SAND PRAIRIE",1495
"VELDA CITY",1495
"BUCKHEART",1494
"KANWAKA",1494
"STACY",1493
"PAXTANG",1493
"CLINTWOOD",1493
"COPPER CANYON",1493
"DUNCANNON",1492
"SEDAN",1492
"GENEVA-ON-THE-LAKE",1490
"STEELVILLE",1490
"MERRITT",1490
"BARNEVELD",1490
"PENTWATER",1488
"KORTRIGHT",1488
"BIRNAMWOOD",1487
"LAFLIN",1487
"SOLON SPRINGS",1486
"KERSEY",1486
"LAKE HAMILTON",1484
"BLYTHEWOOD",1484
"VONORE",1484
"JOHN DAY",1483
"HAUBSTADT",1483
"MENARD",1483
"BARNETT",1482
"WONEWOC",1481
"FORT LORAMIE",1481
"GOODWATER",1480
"SOUTH PALM BEACH",1480
"BLACK RIVER",1479
"BARDWELL",1479
"LEET",1479
"VAN ETTEN",1478
"COLDSPRING",1478
"KATHIO",1478
"VICTORY GARDENS",1478
"BROXTON",1478
"BEL-NOR",1478
"BLOWING ROCK",1477
"BURGETTSTOWN",1477
"AUBBEENAUBBEE",1477
"LATTA",1477
"DUNES CITY",1476
"KREMMLING",1476
"RUDOLPH",1476
"HARTINGTON",1475
"ROCK HALL",1475
"REDINGTON BEACH",1474
"ROSEFIELD",1473
"NORTHMORELAND",1472
"DIVERNON",1472
"YACOLT",1472
"MANTEO",1470
"NEW FLORENCE",1470
"BONNEAUVILLE",1470
"JARRELL",1470
"WEST TRAVERSE",1469
"HONAKER",1469
"CAPE CHARLES",1469
"ST LEO",1468
"SHIPMAN",1468
"FOSSTON",1468
"BELLE PRAIRIE",1467
"LIBERTY HILL",1467
"ALBAN",1467
"NORTH REDINGTON BEACH",1467
"MARK",1466
"SOUTH MACON",1465
"CRUMP",1464
"RIDOTT",1464
"SHIREMANSTOWN",1464
"FERTILE",1463
"GLYNDON",1463
"ELROY",1463
"CASTALIA",1463
"PIERCE CITY",1462
"SHIP BOTTOM",1462
"ROLLINGWOOD",1461
"OWENTON",1461
"CARTWRIGHT",1461
"RAINELLE",1461
"CHESTERVILLE",1460
"MILL HALL",1459
"ESCOBARES",1459
"WINTER",1459
"PARKSTON",1458
"TUSTEN",1458
"COLDSPRINGS",1458
"MARBLE HILL",1456
"BLOSSOM",1456
"SEADRIFT",1455
"UPPER MIFFLIN",1455
"TURTLE RIVER",1455
"PIPERTON",1454
"HOLT",1453
"KEOTA",1452
"ORCHARD GRASS HILLS",1452
"DOBSON",1452
"NEW PLYMOUTH",1452
"TROUT LAKE",1451
"ILLINI",1451
"EXETER-FAIRMONT CONSOLIDATED",1451
"MERRIAM WOODS",1451
"RUNAWAY BAY",1450
"MOTTVILLE",1450
"ASHKUM",1450
"RYEGATE",1449
"SHAMOKIN DAM",1449
"BENLD",1448
"BLOSSBURG",1447
"PARKIN",1447
"PRAIRIE LAKE",1445
"AVIS",1445
"EDMORE",1445
"ANGELO",1445
"HUGHESTOWN",1444
"ASSUMPTION",1444
"WALFORD",1444
"FORT BENTON",1443
"SHIRLAND",1443
"MORELAND",1442
"VON ORMY",1442
"FLATONIA",1442
"LA VILLA",1442
"LOCKWOOD",1441
"DRIGGS",1439
"TENNILLE",1439
"ENOSBURG FALLS",1439
"HARTSGROVE",1439
"KIRKLIN",1439
"FARMER",1438
"MOUNT IDA",1438
"EAST BERLIN",1438
"BLAWNOX",1438
"LODA",1437
"SACKETS HARBOR",1437
"LELAND GROVE",1437
"FARMERSBURG",1436
"AURDAL",1435
"BRULE",1434
"COLOGNE",1434
"RAPID CITY EAST",1434
"PORT BARRINGTON",1434
"IRWINDALE",1433
"PONCA",1433
"BRUCETON",1432
"BANNER",1432
"LAKE WACCAMAW",1432
"WEST STOCKBRIDGE",1432
"NEBRASKA",1430
"THOMPSON FALLS",1430
"HACKLEBURG",1430
"QUINLAN",1429
"COLMA",1429
"LUSK",1429
"COLWICH",1429
"LACOSTE",1428
"GALESVILLE",1426
"WATERSMEET",1426
"STERLINGTON",1425
"LYONSDALE",1425
"SUMRALL",1424
"CROW WING",1424
"BEARCREEK",1424
"MINONG",1424
"OZAWKIE",1423
"GOWER",1422
"KETTLE FALLS",1422
"MENTONE",1421
"BOKESCREEK",1421
"BRUSSELS",1421
"ELEPHANT BUTTE",1418
"FRANKLIN GROVE",1418
"ALLISON",1417
"TURIN",1417
"NAUVOO",1417
"PINEBLUFF",1416
"ROLLING",1416
"WALTZ",1416
"BEARFIELD",1416
"FRENCH",1415
"ORCHARD",1415
"BENWOOD",1415
"ALLENHURST",1414
"FAIRPLAY",1413
"ST ELMO",1413
"WAYMART",1412
"ELMENDORF",1412
"WEST BLOCTON",1412
"MOUNTAIN",1412
"GRAND MARAIS",1412
"LARIMORE",1411
"FAIR GROVE",1411
"JONESPORT",1410
"KINGSFORD HEIGHTS",1410
"RED ROCK",1410
"PAWLET",1410
"NORA SPRINGS",1410
"CAPE CARTERET",1410
"CARAWAY",1410
"ADAIR",1410
"PLEAK",1408
"ODON",1408
"DARWIN",1407
"GLEASON",1406
